stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,parent_station
907,28209,Lauriers,43.568799244624,3.94567254957003,0,S3718
S3719,,Parc Expo,43.5732929176614,3.94453788989593,1,
898,28125,Parc Expo,43.5732929176614,3.94453788989593,0,S3719
908,28225,Parc Expo,43.5733690109591,3.94486150332421,0,S3719
1288,43153,Parc Expo,43.5729914003502,3.94546909162006,0,S3719
1294,43205,Parc Expo,43.572981311176,3.94554299318903,0,S3719
S3720,,Pérols Centre,43.5630506390039,3.95018362938491,1,
892,28112,Pérols Centre,43.5630506390039,3.95018362938491,0,S3720
905,28207,Pérols Centre,43.5627592228126,3.95043500749049,0,S3720
1289,43155,Pérols Centre,43.565552992202,3.9571773613321,0,S3720
1293,43203,Pérols Centre,43.5655333536454,3.95728806877166,0,S3720
S3721,,Pérols Étang de l'Or,43.5580406963095,3.9635652386215,1,
1292,43201,Pérols Étang de l'Or,43.5580406963095,3.9635652386215,0,S3721
S3722,,Pérols Sud,43.5595582347704,3.9582930201244,1,
894,28114,Pérols Sud,43.5595582347704,3.9582930201244,0,S3722
903,28205,Pérols Sud,43.5598054814322,3.95799099717046,0,S3722
S3723,,Plein Sud,43.5711556335863,3.94196790511588,1,
899,28126,Plein Sud,43.5711556335863,3.94196790511588,0,S3723
909,28226,Plein Sud,43.5715387112948,3.94280704770848,0,S3723
S3724,,Radel,43.556831412586,3.96387692988203,1,
895,28115,Radel,43.556831412586,3.96387692988203,0,S3724
902,28204,Radel,43.5566596253575,3.96453952310822,0,S3724
S3725,,Saint-Jean,43.5610873391765,3.95222970657489,1,
893,28113,Saint-Jean,43.5610873391765,3.95222970657489,0,S3725
904,28206,Saint-Jean,43.5610163127537,3.95277161385895,0,S3725
S3726,,Coopérative Oléicole,43.5846567402591,3.75697350917955,1,
1051,36119,Coopérative Oléicole,43.5846567402591,3.75697350917955,0,S3726
1095,36218,Coopérative Oléicole,43.5846544673153,3.75714657967765,0,S3726
S3727,,Distillerie,43.5855686578199,3.7669016793678,1,
1047,36115,Distillerie,43.5855686578199,3.7669016793678,0,S3727
1099,36222,Distillerie,43.5854711165393,3.76680030690204,0,S3727
S3728,,Gaston Defferre,43.5842254619923,3.7528448748962,1,
1052,36120,Gaston Defferre,43.5842254619923,3.7528448748962,0,S3728
1094,36217,Gaston Defferre,43.5842679652565,3.75303141989369,0,S3728
S3729,,Jean Moulin,43.5826388466637,3.7518162986728,1,
1053,36121,Jean Moulin,43.5826388466637,3.7518162986728,0,S3729
1093,36216,Jean Moulin,43.582527775852,3.75206086319454,0,S3729
S3730,,La Bornière,43.5796402726444,3.75358445624969,1,
1055,36123,La Bornière,43.5796402726444,3.75358445624969,0,S3730
1091,36214,La Bornière,43.5795461986944,3.75390361662581,0,S3730
S3731,,Le Temple,43.5855110856342,3.76241122794081,1,
1049,36117,Le Temple,43.5855110856342,3.76241122794081,0,S3731
1097,36220,Le Temple,43.5855517795002,3.76273377017373,0,S3731
S3732,,Lotissement Les Violettes,43.5875582247138,3.76599922425541,1,
1048,36116,Lotissement Les Violettes,43.5875582247138,3.76599922425541,0,S3732
1098,36221,Lotissement Les Violettes,43.5876257034101,3.76633481783415,0,S3732
S3733,,Maison de Retraite,43.5812966310094,3.75065780671873,1,
1054,36122,Maison de Retraite,43.5812966310094,3.75065780671873,0,S3733
1092,36215,Maison de Retraite,43.5814325565664,3.75057461109793,0,S3733
S3734,,Médiathèque La Gare,43.5861447560049,3.76002792662739,1,
1050,36118,Médiathèque La Gare,43.5861447560049,3.76002792662739,0,S3734
S3735,,Saint-Martin de Vignogoul,43.5856951430908,3.78978286906922,1,
1127,38108,Saint-Martin de Vignogoul,43.5856951430908,3.78978286906922,0,S3735
1137,38208,Saint-Martin de Vignogoul,43.5856066094873,3.78968168579836,0,S3735
S3736,,Square Tribes,43.5840095978677,3.75970269549395,1,
1096,36219,Square Tribes,43.5840095978677,3.75970269549395,0,S3736
S3737,,Cave Coopérative,43.6944440058287,3.86232257997101,1,
757,23120,Cave Coopérative,43.6944440058287,3.86232257997101,0,S3737
769,23207,Cave Coopérative,43.6950027580546,3.86222601045443,0,S3737
S3738,,Coste Rousse,43.6947795098159,3.87039771499351,1,
765,23132,Coste Rousse,43.6947795098159,3.87039771499351,0,S3738
788,23230,Coste Rousse,43.6947583801295,3.87062017451685,0,S3738
S3739,,Ducque,43.6971916160294,3.8676622194541,1,
764,23131,Ducque,43.6971916160294,3.8676622194541,0,S3739
789,23231,Ducque,43.6972776336108,3.867937129467,0,S3739
S3740,,Frayssinet,43.6959612087004,3.8624746761768,1,
758,23121,Frayssinet,43.6959612087004,3.8624746761768,0,S3740
768,23206,Frayssinet,43.6966715168887,3.86246889509736,0,S3740
S3741,,Les Baronnes,43.693673551305,3.87231323887278,1,
760,23123,Les Baronnes,43.693673551305,3.87231323887278,0,S3741
S3742,,Mairie,43.6972565345328,3.86369885689509,1,
759,23122,Mairie,43.6972565345328,3.86369885689509,0,S3742
